,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
etranger_,0.0100194505048,0.009760948014,0.0136050219746,0.00883427419571,0.0127309059959,0.0125308956524,0.00979223606105,0.0159555072963,0.019891464515,0.0180716364311,0.013053048553,0.00778453027692,0.0148361525495,0.0127543731369,0.01304656054,0.0128701343377,0.0205969248349,0.0093836673177,0.0161138994495,0.0092434880243,0.0122373749405,0.0147880765207,0.0128842102385,0.0122736642674,0.00968393139795,0.0174417275012,0.0112690485773,0.0120892833734,0.0157587887485,0.016421523314,0.0116499014998,0.0129617087547,0.00831881615533,0.0191868615109,0.0127254758903,0.0181179833351,0.0157278033012,0.0148377481411,0.0100024210021,0.0116106659045,0.0147955087526,0.00843488195977,0.0155837120893,0.0151993523136,0.0135142353426,0.0104520272594,0.0115718298127,0.0164377655023,0.0169774850396,0.0134893961783,0.0150706591393,0.0226089578367,0.0149690847191,0.0148078115422,0.0146382815176,0.00861103238007,0.0145280181636,0.0148532466212,0.0150727440458,0.0119862285076,0.016939839847,0.00890083976359,0.0143636128589,0.0121691834423,0.0134899950307,0.0131447382171,0.0107350307371,0.0145637187094,0.00909078912699,0.0142930653331,0.0121946804084,0.0140379412748,0.00894758341438,0.0175612507094,0.0117195655409,0.011349697742,0.012218149654,0.0170876035139,0.0122970121455,0.017741445397,0.00941793565301,0.00952055055667,0.0152097969612,0.0114951516722,0.00866176085995,0.0147393508891,0.0102705557955,0.0140198293101,0.0173226394791,0.019424593481,0.0114042831561,0.0139211777573,0.00780297513683,0.00592457399104,0.0113043095557,0.012564690052,0.0116724322357,0.00797125933362,0.0129183846823,0.0147757089401,0.0124128774726
age15_,0.0145123349954,0.0175071084203,0.016399666864,0.0126436898477,0.016523307047,0.00944128674587,0.0175877288336,0.0172150981909,0.0132889282299,0.0168032176871,0.0176170224135,0.0183627596948,0.016081491094,0.017696873714,0.0157718739238,0.0123745782459,0.0140265394798,0.0169756277685,0.0166447756219,0.0163995101102,0.0116064265269,0.00725028747923,0.0184687632865,0.00994573137467,0.0161913436023,0.0168262886725,0.0121925997777,0.0141353774804,0.0170138049089,0.0117781246163,0.0098018542393,0.0130738404211,0.0116597118258,0.0162589980043,0.0165019378211,0.0160138544347,0.0154591345497,0.0178550913883,0.0142300936383,0.00928013994188,0.0115931513696,0.00988900699241,0.0144562342,0.0169232646915,0.0150110645295,0.0155571336349,0.016184361946,0.0157795012553,0.0159394594796,0.0172953872151,0.0106881907303,0.00827044410708,0.0132166546612,0.0122230670783,0.0115108822394,0.0126508520239,0.00987741673725,0.0171411224035,0.0111099288384,0.0151359276983,0.0166527181775,0.0113434274163,0.0144287487144,0.010709872846,0.0131710446462,0.0112754940125,0.0147459872854,0.0137854598359,0.0158951802389,0.0132596227203,0.0129317876449,0.0153250426173,0.0157078853599,0.0157986410709,0.0170434991407,0.0157184037847,0.0182278106787,0.0113323187703,0.017906323179,0.0176615490611,0.0102305136374,0.0108539514719,0.0107210101059,0.00927285067442,0.0116987567663,0.015740905073,0.0102359472305,0.0105514577258,0.0113271850966,0.00995848241273,0.0173431923006,0.0173616885747,0.0150680070618,0.0151008183864,0.013693058735,0.0168927548235,0.0164968914815,0.0174772065939,0.0155137514134,0.0166442547331,0.0151149180845
age30_,-0.0098834843131,-0.0141545592758,-0.0157704026995,-0.0117225190268,-0.0125374143202,-0.0162725047913,-0.0140421245074,-0.0117173946314,-0.0108836831285,-0.0137472428718,-0.0134990570215,-0.011548778731,-0.0143284885679,-0.0107546992645,-0.0137850940781,-0.0180929146189,-0.0103704716467,-0.0107928297261,-0.0159216313755,-0.0129237867141,-0.0163471531507,-0.0133763569513,-0.010227775297,-0.0128708157776,-0.014880769201,-0.0160019549012,-0.0121206447631,-0.00966571116805,-0.0161606652518,-0.0117799400535,-0.0127367881327,-0.0103967077579,-0.0133038721033,-0.0119314878683,-0.0136455280017,-0.0109259585308,-0.0138822269209,-0.0157772792805,-0.0115067843492,-0.0174822291625,-0.0131660220489,-0.01037916426,-0.0156944187729,-0.0141727828193,-0.0133633319643,-0.0115446318813,-0.0112528586434,-0.0136860739846,-0.0128058964482,-0.0147746330503,-0.0126977863346,-0.00912720551516,-0.0147669076084,-0.012040176407,-0.0115277196556,-0.0158660652886,-0.010305389335,-0.0119762513138,-0.0134354293102,-0.0154873635198,-0.0125887299595,-0.0131320442652,-0.0139952541827,-0.0117821246329,-0.0122459762587,-0.0117838379541,-0.0144793235806,-0.0117597491208,-0.0118458042522,-0.0126291077641,-0.0134065953615,-0.0150210659392,-0.0122512154022,-0.0140789666772,-0.0142499881092,-0.0102804727952,-0.0117585978384,-0.0168882087381,-0.0111451694581,-0.0112098920139,-0.0141087966381,-0.0112775674249,-0.0162959602119,-0.0151095031424,-0.0139575828572,-0.0115996589132,-0.0156863440712,-0.0116212105323,-0.0116974025861,-0.0163761206091,-0.0135737224631,-0.0109595603188,-0.013496646711,-0.013453257791,-0.0152900067428,-0.0167491231426,-0.0134552783954,-0.0116102824564,-0.0147935334649,-0.0143436835411,-0.0137106035045
age40_,-0.0200083547216,-0.0206467250759,-0.0198081902176,-0.0199911628585,-0.0207347936464,-0.0205737494492,-0.0193790056819,-0.0203132922236,-0.0198853892948,-0.0196009054162,-0.0197007668019,-0.0190442146873,-0.0198241083216,-0.0214889462152,-0.0199942017806,-0.0190946769073,-0.0208184052434,-0.0209067394217,-0.0195147232896,-0.0205007822594,-0.0203762267518,-0.0196886112136,-0.0209220556388,-0.0199386920228,-0.0201750095379,-0.0201640996664,-0.0201303052792,-0.0197142751233,-0.0200516073941,-0.0202384692766,-0.0203932851132,-0.0202773739978,-0.0192035693552,-0.021907588033,-0.0199897203183,-0.0192273758009,-0.019589320619,-0.020550965969,-0.0208604867628,-0.0205217596644,-0.019790134936,-0.0213857240637,-0.0204966663341,-0.0201694185632,-0.019664728,-0.0194352504516,-0.0202336614855,-0.0204793505616,-0.0211278157068,-0.0208828020942,-0.0193273958936,-0.0205634989189,-0.019496685499,-0.0187591105116,-0.0202601689189,-0.0199620838503,-0.0198627496727,-0.02165765742,-0.0192728294658,-0.0199476088507,-0.0211564793433,-0.0203833559711,-0.0200687360906,-0.0199230167493,-0.0200466093927,-0.0196334288282,-0.0202815606426,-0.0192669192223,-0.0205860430098,-0.0203074511113,-0.019708453712,-0.019892290571,-0.019736866131,-0.019237826888,-0.0204391507338,-0.0195801180006,-0.0206358270132,-0.0206826074607,-0.0208258345857,-0.0205343442673,-0.0197275670455,-0.0196792575668,-0.0211100588256,-0.0199943867924,-0.0201076673875,-0.0191456111749,-0.0190297714596,-0.0199468445923,-0.0206748220167,-0.0198228078145,-0.0189840967207,-0.0198840633047,-0.01929590487,-0.0201456654543,-0.0206293602187,-0.0205436685987,-0.0199790429332,-0.0209129958899,-0.0198289209046,-0.0200710654813,-0.0200542921544
dip10_,-0.0358174312582,-0.0361645697591,-0.0356401126782,-0.0336791046829,-0.0329428658254,-0.0322797687471,-0.034622484962,-0.0364872732212,-0.032964861415,-0.030585068726,-0.0323212801912,-0.0356936957129,-0.0327567321501,-0.0365406967443,-0.0322004152494,-0.0314843805405,-0.0318142633943,-0.0364269841138,-0.0355488178217,-0.0342111237672,-0.0330008726971,-0.0325453725414,-0.0350770732449,-0.0328627489387,-0.0364518963235,-0.0313558072427,-0.0338441026133,-0.0342336128954,-0.0327570467409,-0.0367525128856,-0.0300472381713,-0.0351410922311,-0.0337655649077,-0.0345572491192,-0.0344486130476,-0.0311004326369,-0.0346072676096,-0.0333228225999,-0.0325051327839,-0.0320991995324,-0.0334764748956,-0.0391594381027,-0.0356092188957,-0.0351890243922,-0.0326602886988,-0.0363077556822,-0.0379467120161,-0.0357233997802,-0.0314661029417,-0.0348751283888,-0.0359785603622,-0.0347143307587,-0.0367537336943,-0.0332892812318,-0.0363825274026,-0.0348616146811,-0.0327926803579,-0.0341293999321,-0.0334850304776,-0.0321443677282,-0.0349218851147,-0.0336100396429,-0.0345830212814,-0.0366969358687,-0.0302132169159,-0.039057946241,-0.0338797765074,-0.0340955646962,-0.0324255445107,-0.0362500474684,-0.0334835547737,-0.0360769671809,-0.032041248798,-0.0308050784389,-0.0359779094695,-0.0318404578455,-0.0318805390069,-0.0344156816542,-0.0344916669772,-0.0334264740793,-0.0354476350041,-0.0343044299731,-0.0387025119878,-0.0305981783839,-0.0332746294113,-0.0322267971418,-0.0331035962666,-0.0334077851606,-0.0308528030875,-0.03558346673,-0.0322378981143,-0.0334345177607,-0.0356581462465,-0.0343499618673,-0.0355295327659,-0.0352132612547,-0.0341656400963,-0.0361547789464,-0.0351222300031,-0.036637885929,-0.0325822327771
dip11_,-0.0779084215586,-0.0775410430858,-0.0776761903476,-0.0765615983108,-0.0833326282963,-0.0821433910137,-0.0779535625101,-0.07813393247,-0.0814220530857,-0.0781883673128,-0.0826670079473,-0.086611982945,-0.0762092467777,-0.0735727623374,-0.0800962340334,-0.0769080907097,-0.0829366223996,-0.0783220387424,-0.0792549431727,-0.0764137444142,-0.0780848174361,-0.0883170073566,-0.0774069181804,-0.079094355883,-0.0823566679086,-0.0776965459813,-0.0781097595572,-0.0790546166303,-0.0758653963342,-0.0817702285911,-0.0804149968668,-0.0813310843215,-0.080636846493,-0.0805800034993,-0.0741912128464,-0.077391540358,-0.0844502649544,-0.0760327803775,-0.0767905955388,-0.0787004877724,-0.0771690910134,-0.0808913916312,-0.0754204833065,-0.0747118784021,-0.0709963867946,-0.0763714883074,-0.0751381279721,-0.0759280446874,-0.0836299471138,-0.0805722771675,-0.0795553445927,-0.0853350914337,-0.082908153916,-0.0869458259523,-0.078228191111,-0.0769709000657,-0.078400950342,-0.0827870708301,-0.0731203764714,-0.0768947254747,-0.0868182688087,-0.0766142418199,-0.0727890421728,-0.0802527401711,-0.0820757847652,-0.0781859454177,-0.0715279100684,-0.0769876419757,-0.0789504085076,-0.0810869109863,-0.0759975594145,-0.0715428091798,-0.0814202216017,-0.0779992533191,-0.0762120589102,-0.0795396954407,-0.0773780880938,-0.0797077765793,-0.0723382853072,-0.0785056773076,-0.0769921903186,-0.0792842801359,-0.0827408784061,-0.0816421493663,-0.0877282031405,-0.0732220493866,-0.0771991656372,-0.0842924637835,-0.0812988330281,-0.0794867102007,-0.0728166478272,-0.0766743350794,-0.0740000311844,-0.079296221909,-0.0735265766612,-0.0800298029589,-0.0736854485278,-0.0777605179761,-0.0714063877179,-0.085505456958,-0.0777066106439
dip30_,-0.0599235842014,-0.0488190578701,-0.0545827557734,-0.0576730797159,-0.0582116695498,-0.0529106298066,-0.0416138927765,-0.051602129273,-0.0592304128857,-0.0563383576785,-0.0278868638149,-0.046350474969,-0.0497709460039,-0.0424830053144,-0.036269889314,-0.0356077018843,-0.039298302649,-0.0536367094007,-0.0452873439714,-0.0430668193966,-0.0570013322466,-0.054165184057,-0.0542977771829,-0.0728735031214,-0.0500987608336,-0.0507414324499,-0.0443528597253,-0.0599627317467,-0.0521437169195,-0.0382675882068,-0.0480853010707,-0.0489366841353,-0.0566395893045,-0.0458076634506,-0.0408478121161,-0.0473980028781,-0.0452450389184,-0.0496615773539,-0.0563805304982,-0.0590225242268,-0.0477104939041,-0.0500882630336,-0.0604793154474,-0.0406513118644,-0.0551199481903,-0.0599945331443,-0.0422361539604,-0.0462621678013,-0.0599694710181,-0.0465063212808,-0.0550862847236,-0.0569404140301,-0.0525859979048,-0.057011742487,-0.0464798396429,-0.0433597744616,-0.0480786619944,-0.0462239574556,-0.056557237947,-0.0466069538717,-0.0469925183558,-0.052405951906,-0.0589169451355,-0.0466443714213,-0.0410418001006,-0.0449704992522,-0.0619505807687,-0.0410619914083,-0.0488288040949,-0.0428923622805,-0.0488754238205,-0.0526704831619,-0.0366619435263,-0.0470041005743,-0.0413660088874,-0.0490498822075,-0.0558307358745,-0.0593254084795,-0.0347367972111,-0.0344486645305,-0.0559422346788,-0.0490912554947,-0.0606030009335,-0.044740313058,-0.0535398836724,-0.0564463996444,-0.0520289807743,-0.0488510193678,-0.0566804643448,-0.0594323849738,-0.0419728336321,-0.042861578119,-0.0622072404941,-0.0471439331448,-0.0514270596053,-0.0373555434026,-0.0476224463466,-0.0373836365993,-0.0632375916346,-0.0607268017877,-0.0583630233406
dip31_,-0.0215321228245,-0.0233626329851,-0.0259193308934,-0.02436346973,-0.0231338647206,-0.0218822117009,-0.0258424078841,-0.0173874765162,-0.0209024641085,-0.0204431172099,-0.0188940490336,-0.0256083823938,-0.0239879423963,-0.0220515433155,-0.0211875803987,-0.0266307852028,-0.023511844967,-0.0242664692936,-0.0234175772049,-0.0239302778896,-0.0214867274035,-0.0227869066166,-0.0227776001508,-0.021239192374,-0.023438085742,-0.0201461591971,-0.0236792386781,-0.021154971559,-0.0225286725758,-0.023480504196,-0.0275313984988,-0.0245069948639,-0.0233782850989,-0.0213889234455,-0.0204436063776,-0.026259257987,-0.0246106413471,-0.0256980493934,-0.0235206617916,-0.0225236191053,-0.0215468267653,-0.0234086457699,-0.0197568083218,-0.0190339361939,-0.0213106774827,-0.0218161415143,-0.0216424557807,-0.0213555157238,-0.0195196021329,-0.0220912794719,-0.0236188653609,-0.0197178708998,-0.0243525036847,-0.0183354709068,-0.0212829358732,-0.0243744290729,-0.0202957406256,-0.0236375552484,-0.0263881234553,-0.0221551045238,-0.0203237991467,-0.0191737420646,-0.0249922606825,-0.0222333746413,-0.0228478757449,-0.024787027338,-0.022844071328,-0.0232358164988,-0.0236507566453,-0.0216462834573,-0.0300616001667,-0.0244164032329,-0.0215801904975,-0.0262139734983,-0.0206103686969,-0.0232238374883,-0.0219074142489,-0.0241963777551,-0.0202516909154,-0.0207054752822,-0.02393182254,-0.0267696789349,-0.0241945938624,-0.0261505796004,-0.0252251275501,-0.0279852578139,-0.0222343085623,-0.0238218600187,-0.0269057840869,-0.0256805234597,-0.0244737577015,-0.02660868033,-0.0199371029503,-0.0240209571939,-0.020973526448,-0.0225644655238,-0.0227047482259,-0.023750273999,-0.0251748729201,-0.023114219515,-0.0205381742199
dip33_,-0.117090122719,-0.109296202396,-0.118299546443,-0.112421499809,-0.113638201707,-0.10335559972,-0.113317693302,-0.110510011637,-0.117675648743,-0.104310907683,-0.146056999224,-0.11297715375,-0.105812064005,-0.107620345342,-0.116138877303,-0.115202292907,-0.110174362288,-0.105895387722,-0.105661212589,-0.107696280308,-0.105299307689,-0.11561399265,-0.115969165234,-0.105541141491,-0.102896524675,-0.113556119007,-0.107269228076,-0.102250277629,-0.102397841026,-0.15907599036,-0.109388320201,-0.104618448096,-0.113501778039,-0.111871284421,-0.111496456009,-0.104211444274,-0.105376571336,-0.111430613994,-0.111556205456,-0.108323114615,-0.154562825661,-0.109893143653,-0.106739741118,-0.109286362934,-0.101616153645,-0.110267301005,-0.114307220226,-0.0984003696994,-0.107770930017,-0.113086729997,-0.130057745319,-0.116060323256,-0.114665155663,-0.104479293974,-0.115472875421,-0.135665122043,-0.113681493384,-0.105275042183,-0.115222420474,-0.102065066585,-0.107104857692,-0.114036663522,-0.115582385597,-0.117700663555,-0.106343897429,-0.102028276207,-0.121550377355,-0.106910021425,-0.109495839799,-0.108347643343,-0.115751739076,-0.106139648537,-0.119057414346,-0.102447654432,-0.106303108466,-0.107541014212,-0.115722754656,-0.111885087652,-0.110430273754,-0.10959261694,-0.120816143457,-0.106337178267,-0.108530832769,-0.118025888165,-0.109892785085,-0.110728101783,-0.111696058292,-0.109260697567,-0.1082107964,-0.110307184793,-0.10716233733,-0.111649626991,-0.119335623958,-0.10417194086,-0.120957616033,-0.110177804483,-0.107235131981,-0.115222361005,-0.107962012003,-0.110392489125,-0.106386114926
dip41_,-0.00141810970556,-0.000785640602805,0.00391570840099,-0.00274801351461,0.00122965818024,-0.00199028012297,-0.000889559810611,0.00051634326226,0.00179139509065,0.00344759539473,-0.00172631025453,0.000163523173248,0.00154633854183,0.00194053467845,-0.00227257343907,0.00189200717363,0.00234821800021,-0.00133616754451,-0.00110054359433,-0.00158318213365,0.000612981554179,-0.000523826314371,0.00152532341209,0.00419713821758,0.00412992448696,0.00197732358798,0.00056577012337,-0.00237509169044,-0.000739707881262,0.00132351938701,-0.0046126734483,0.00234091495423,0.00266825990053,0.00253937984516,-0.00150616861077,0.00332546250224,0.00295360830843,0.00247263543588,0.00247311147207,-0.00610985012189,-1.66839567382e-05,-0.00107402549335,0.000539925969143,0.000578142119245,0.00296822178773,0.00286090520958,0.00169431676903,-0.000224683750126,0.00120269141881,-0.000687460559035,0.000485330729052,0.00229987999016,0.00249111050906,0.00382799945394,0.000522868873294,0.00173960054775,0.00238197298357,0.00273058526183,0.00036753837353,-0.000563651359595,0.00122447516096,0.000686254724602,0.000374450499814,0.000763928818822,0.00207191197465,-0.00316733055569,-0.00195536398974,-0.000144169387607,0.00021544469728,-0.00191539471039,0.00317377298522,0.00168234524858,0.00213301143589,0.00306203185231,-0.000547027738614,0.0026541453012,-0.00198422766544,-0.000516623258657,0.00271656715423,0.00138719802365,0.0012761290178,0.000101167356496,0.000989127299164,0.00110825097139,0.00176758185701,0.00259099003814,0.000135947173194,0.00108275776453,-0.00185873908771,0.00300205664671,0.00225026477784,0.00199255390479,0.00246857731686,-0.000482545579362,0.000589367584372,-0.000889944858885,0.00200489040468,0.00415679182578,0.000633090492257,-0.000388545461115,-0.00078971975694
